Date,Company,Revenue,NetIncome,OperatingExpenses,MarketCap,StockPrice,PERatio
2021-03-31,Netflix,7163,1707,5456,235000,511.62,51.2
2021-06-30,Netflix,7342,1353,5989,240000,536.83,57.8
2021-09-30,Netflix,7483,1449,6034,250000,638.97,61.5
2021-12-31,Netflix,7709,607,7102,265000,602.69,56.4
2022-03-31,Netflix,7868,1597,6271,170000,348.61,31.5
2022-06-30,Netflix,7970,1441,6529,95000,216.47,22.8
2022-09-30,Netflix,7926,1398,6528,120000,294.88,28.4
2022-12-31,Netflix,7852,55,7797,130000,329.08,34.2
2023-03-31,Netflix,8162,1305,6857,145000,349.45,38.7
2023-06-30,Netflix,8187,1488,6699,180000,445.99,42.3
2023-09-30,Netflix,8542,1677,6865,190000,386.49,39.8
2023-12-31,Netflix,8833,938,7895,210000,487.83,45.2
2024-03-31,Netflix,9370,2332,7038,250000,599.09,48.6
2024-06-30,Netflix,9559,2147,7412,270000,643.14,49.3
2024-09-30,Netflix,9825,2363,7462,285000,687.45,50.8
2020-03-31,Alphabet,41159,6836,34323,920000,1162.81,24.5
2020-06-30,Alphabet,38297,6959,31338,1000000,1431.82,29.8
2020-09-30,Alphabet,46173,11247,34926,1100000,1621.00,33.2
2020-12-31,Alphabet,56898,15227,41671,1180000,1751.88,34.6
2021-03-31,Alphabet,55314,17930,37384,1450000,2279.47,35.8
2021-06-30,Alphabet,61880,18525,43355,1750000,2730.79,38.2
2021-09-30,Alphabet,65118,18936,46182,1900000,2890.75,31.5
2021-12-31,Alphabet,75325,20642,54683,1920000,2897.04,28.4
2022-03-31,Alphabet,68011,16436,51575,1550000,2265.71,24.8
2022-06-30,Alphabet,69685,16002,53683,1450000,2141.79,22.3
2022-09-30,Alphabet,69092,13910,55182,1280000,1858.73,19.8
2022-12-31,Alphabet,76048,13624,62424,1150000,1578.91,17.5
2023-03-31,Alphabet,69787,15051,54736,1350000,1936.42,21.4
2023-06-30,Alphabet,74604,18368,56236,1550000,2241.73,25.8
2023-09-30,Alphabet,76693,19689,57004,1650000,2382.45,27.3
2023-12-31,Alphabet,86310,20687,65623,1750000,2531.14,28.9
2024-03-31,Alphabet,80539,23662,56877,1900000,2738.56,31.2
2024-06-30,Alphabet,84742,23619,61123,2050000,2946.83,33.5
2024-09-30,Alphabet,88268,26301,61967,2150000,3098.21,35.1
